Activity Name,Description,Type,Interest,State,Grade
"Microsoft Discovery Program","The Microsoft Discovery Program is a 4-week summer internship designed for high school graduating seniors interested in technology. Located in Redmond, Washington, and Atlanta, Georgia, the program offers hands-on learning experiences in the Design phase of product development. Participants will develop foundational skills, receive mentorship from Microsoft employees, and engage in community building. The program aims to help students discover how their passions can lead to a career in tech at Microsoft and beyond. Applicants must live within 50 miles of either Redmond or Atlanta and have completed pre-calculus or an equivalent course by the start of the program.","Summer; Internship; Free","Engineering; Computer Science","Washington; Georgia","Seniors"
"Copper Canyon Press Internship & Volunteer Opportunities","Copper Canyon Press offers internships and volunteer opportunities focused on poetry publishing. Participants gain hands-on experience in marketing, fundraising, production, acquisitions, reader engagement, and publicity, supporting the press's nonprofit mission. The program is remote, with flexible hours within North American time zones, and offers a $500 monthly stipend. Internships last 3-5 months, with schedules determined post-orientation. Applicants must be passionate about poetry or literature, have strong writing and proofreading skills, and be comfortable with independent research. Prior experience in manuscript preparation or working with literary journals is a plus. This opportunity is ideal for students and individuals interested in the literary arts community and publishing industry.","Year Round; Summer; Internship; Volunteering; Free","English Literature Writing","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Eastside Legal Assistance Program (ELAP) Volunteer Opportunities","The Eastside Legal Assistance Program (ELAP) offers volunteer opportunities for individuals interested in pursuing fair and equal justice. Volunteers, including attorneys, legal professionals, law students, and community members, contribute to ELAP's mission by providing legal aid to those in need. Opportunities include clinic intake, office help, translation, grant writing, bookkeeping, social media, data entry, event support, and more. Law students can gain hands-on legal experience through internships focused on domestic violence and housing law. ELAP relies on the support of over 300 volunteers annually, including 100 pro bono attorneys, to extend its reach and impact.","Free; Year Round; Internship; Volunteering","Law","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"GENIUS Olympiad","GENIUS Olympiad is a global high school competition that encourages students to engage in environmental issues through various disciplines including Science, Writing, Business, Robotics, Art, Music, Short Film, and Coding. The competition seeks innovative and creative solutions to environmental problems, offering categories that span across scientific research, creative writing, business plans, robotics engineering, artistic expression, musical performance, filmmaking, and coding. Participants have the opportunity to present their projects at an international platform, fostering a global dialogue on sustainability and environmental conservation. GENIUS Olympiad provides a unique opportunity for students to showcase their talents, collaborate with peers from around the world, and contribute to a sustainable future.","Cost Money; Activity; Research; Competition; Year Round","English Literature Writing; Arts Performance; Business; Environmental Science; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Junior State of America (JSA)","Junior State of America (JSA) offers a dynamic platform for high school students interested in politics, government, education, and business leadership. Through its year-round and summer programs, JSA fosters leadership skills, civil debate, and active engagement in volunteering and activism. Students can participate in student-organized conferences, conventions, and interact with influential leaders across various sectors. Additionally, JSA encourages students to run their own 'governments' at chapter, region, state, and national levels, enhancing their understanding of democracy and governance. The program is designed to empower students to become informed, responsible citizens and leaders.","Free; Year Round; Summer; Activity; Competition; Volunteering","Political Science; Law","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Internship Programs in Pollution Prevention - US EPA","The US Environmental Protection Agency (EPA) offers internship programs in Pollution Prevention across various states in the United States. These internships provide participants with the opportunity to gain valuable career experience while contributing to the protection of human health and the environment. Internships are available in areas such as environmental engineering, biology, and chemistry, and are aimed at students interested in pollution prevention and environmental sustainability. Participants will work on projects that help reduce pollution at its source. The program is open to students of all grade levels and offers a unique chance to work alongside professionals in the field of environmental protection.","Free; Year Round; Internship","Environmental Science; Engineering; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Medical Immersion Summer Academy (MISA)","The Medical Immersion Summer Academy (MISA) offers a comprehensive summer program for high school students interested in pursuing careers in medicine. The program includes hands-on clinical training with workshops on suturing, EKG, splinting, patient vitals, patient simulation, phlebotomy, and bedside manner. Participants also receive nationally recognized certifications in CPR, First Aid, Stop the Bleed, Teen Mental Health First Aid, and Bloodborne Pathogens. MISA provides a unique opportunity for students to network with health professionals and engage in professional development workshops. The program adheres to strict COVID-19 safety protocols, ensuring the safety of all participants. MISA is a valuable experience for students set on a medical career path, offering extensive hands-on opportunities and networking with real doctors.","Cost Money; Summer; Activity","Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Diamond Challenge","The Diamond Challenge is a global high school entrepreneurship competition that encourages students to develop innovative solutions to real-world problems. Teams compete in business innovation and social innovation tracks, with grand prizes awarded to the top three teams in each category. Additional topical prizes recognize achievements in sustainability, technology, social justice, and global entrepreneurship. Participants gain valuable feedback, expand their networks, and have the opportunity to win funding to advance their ventures or support their education. The challenge fosters creativity, community, and passion among young innovators worldwide.","Activity; Competition; Free; Year Round","Business; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"STEM-ED Programs","STEM-ED offers a variety of programs focused on aerospace and drone technology for high school students. These include the Aerospace Robotics Competition, a drone coding competition, and a drone summer camp held at Saint Anselm College. The programs aim to introduce students to the world of aerospace opportunities, providing hands-on experience with Unmanned Aerial Vehicles (UAVs), drone programming, and aerospace engineering principles. Participants can also learn about computer programming and ethics. These activities are designed to be fun, exciting, and educational, offering students a chance to develop their skills in a supportive environment.","Cost Money; Summer; Activity; Competition; Volunteering","Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Summer Medical Academy","The Summer Medical Academy, offered by Health Scholars, is designed for students aged 15-19 interested in pursuing a career in healthcare. The program runs in two sessions from June 17-28 and July 8-19, 2024, and costs $3,000, covering course and lab materials, apparel, and daily lunch. Eligibility is based on enthusiasm for healthcare, academic success, extracurricular involvement, and a teacher recommendation. Scholarships are available for students from Title I San Diego County high schools participating in a Health Career Pathway program. The academy provides a comprehensive introduction to the medical field, aiming to inspire the next generation of healthcare professionals.","Cost Money; Summer","Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Math Kangaroo International Competition in Mathematics","Math Kangaroo International Competition in Mathematics is an annual event that challenges students from grades 1 through 12 with engaging mathematical problems. The competition has been fostering a love for mathematics among students for 27 years, encouraging them to think creatively and apply their knowledge in innovative ways. With 44,070 participants in 2024 and centers in 49 states, Math Kangaroo offers a unique platform for young mathematicians to showcase their skills. The competition includes both in-person and online formats, providing flexibility for participants. Awards and special recognitions are given to national and state winners, making it a prestigious event for aspiring mathematicians.","Cost Money; Competition; Year Round","Mathematics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Al Neuharth Free Spirit and Journalism Conference","The Al Neuharth Free Spirit and Journalism Conference is an annual event held in Washington, D.C., designed to inspire high school juniors interested in journalism. Participants receive an all-expenses-paid trip to attend a week of activities, including panels with top journalists and visits to significant landmarks. The program, established in 1999, aims to honor Al Neuharth, founder of The Freedom Forum and USA TODAY, by encouraging students to pursue journalism. Selected students also receive a $1,000 scholarship for college. The conference emphasizes qualities of a 'free spirit,' such as leadership, courage, and innovative thinking.","Free; Summer; Activity","English Literature Writing","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors"
"Meals on Wheels America Volunteer Program","Meals on Wheels America offers a volunteer program that supports local programs nationwide to keep seniors safe and living independently. Volunteers play a crucial role in delivering meals and providing companionship to seniors, helping to reduce hunger and isolation. The program emphasizes the importance of community service and advocacy, encouraging volunteers to engage in efforts to increase funding for Meals on Wheels through actions like contacting Congress. This opportunity is open to high school students of all grades who are interested in making a positive impact in the lives of seniors and learning about public administration and political science through practical experience.","Free; Year Round; Volunteering","Public Administration; Political Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Philadelphia Classic","The Philadelphia Classic (PClassic) is a semesterly programming competition for high school students, hosted by the PClassic club at the University of Pennsylvania. The competition, which is free for all high schools, offers prizes and awards to top scoring teams. The Spring 2024 contest is scheduled for Saturday, April 6, 2024, at the University of Pennsylvania Engineering Quad. The competition is open to high school students of all grades, and for the first time, middle school students are also invited to participate. This event provides a platform for students to showcase their programming skills in a competitive environment.","Free; Activity; Competition; Year Round","Mathematics; Computer Science","Pennsylvania","Freshmen; Juniors; Seniors; Sophomores"
"Biomedical Bootcamp 2023 – MDI Biological Laboratory","The Biomedical Bootcamp 2023 at MDI Biological Laboratory is a one-week commuter course designed for high school students interested in biomedical research. Running from July 10-14, 2023, the bootcamp offers hands-on experience in experimental design, laboratory techniques, data analysis, bioinformatics, and scientific communication. Participants will engage with scientists to explore careers in biomedicine, research, and entrepreneurship. The program is open to students entering their junior or senior year or those graduating in June 2023. With a tuition of $100, thanks to the James Slater Murphy, M.D. Fellowship Fund, it provides an affordable opportunity for students to delve into the world of biomedical research.","Cost Money; Summer; Activity","Data Science; Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"#CaliforniansForAll Youth Jobs Corps","The #CaliforniansForAll Youth Jobs Corps is a program designed to employ young people in tackling critical issues such as COVID-19 recovery, food insecurity, and climate action across California. It aims to provide employment opportunities to underserved youth, including low-income, former foster, justice-involved, and unemployed individuals, by working directly with cities, counties, and community-based organizations. Participants are supported with at least minimum wage, essential wrap-around services like case management, résumé preparation, and special job training. The program focuses on developing meaningful public service career pathways and enhancing local government capacity to address challenges in key areas.","Free; Year Round; Activity; Internship; Volunteering","Environmental Science; Public Administration","California","Juniors; Seniors"
"High School Scientific Training and Enrichment Program (HiSTEP)","The High School Scientific Training and Enrichment Program (HiSTEP) at the National Institutes of Health (NIH) is a summer program for rising 12th graders from schools where 30% or more students participate in the Federal Free and Reduced Lunch Program. HiSTEP offers a unique opportunity to explore careers in science and biomedical research through lectures, research group visits, networking events, and group projects. Participants also receive guidance on the college application process, develop career readiness and leadership skills, and engage in a resilience and well-being program. The program runs from July 2 to August 1, 2024, on the NIH main campus in Bethesda, MD, requiring a minimum commitment of 21 hours per week.","Free; Summer; Activity; Research","Medical; Biology","Maryland; Virginia","Seniors"
"High School Summer Internship Program at Cincinnati Children's Hospital","The High School Summer Internship Program at Cincinnati Children's Hospital Medical Center is a competitive eight-week paid internship for graduating high school seniors in the Cincinnati area. Interns work 20 hours per week and are paid $13 per hour, engaging in shadowing and participating in clinical or research projects across multiple pediatric specialties. The program offers a unique opportunity for students interested in pursuing higher education in Biomedical Sciences (MD, PhD, or MD/PhD) to gain hands-on experience and explore careers in the medical field. Activities include weekly luncheons, group community service, and a graduation presentation.","Summer; Research; Internship; Free","Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Seniors"
"TeamsCode Virtual Programming Contests","TeamsCode offers virtual team programming contests for high school students interested in computer science. The Spring 2024 contest is scheduled for March 30th, 2024, and features a 3-hour competition where teams of up to 4 students solve algorithmic problems. There are Novice and Advanced divisions, with prizes including cash, software subscriptions, and more. TeamsCode is a student-led organization that aims to inspire and educate future computer scientists through competitive programming. Participation is free, and the contest is open to students worldwide.","Free; Activity; Competition; Year Round","Mathematics; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Summer Internship Program (SIP) - NHLBI, NIH","The Summer Internship Program (SIP) at the National Heart, Lung, and Blood Institute (NHLBI) of the NIH offers high school, college, medical, and graduate students a unique opportunity to engage in intramural research. Located in Bethesda, Maryland, and Framingham, Massachusetts, the program spans six to eight weeks during the summer. Participants work under the guidance of NHLBI principal investigators in basic and clinical research areas. In addition to hands-on research experience, interns benefit from professional development events and mentorship opportunities, fostering growth in medical and scientific knowledge.","Free; Summer; Research; Internship","Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Best Robotics Inc. - Boosting Engineering Science and Technology","Best Robotics Inc. offers a program aimed at inspiring students to pursue careers in engineering, science, technology, and mathematics through robotics design. The program includes a competition that runs from March 3rd to April 14th, open to any student without previous BEST participation necessary. It provides an opportunity for students to engage in hands-on robotics projects, enhancing their skills in engineering and computer science. The program serves schools in specific regions, such as Collin County, Texas, but is open to students nationwide. Participants can register teams, volunteer, and join the alumni network, contributing to a community focused on STEM education.","Free; Activity; Competition; Year Round","Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Milkweed Editions Poetry Prizes","Milkweed Editions, an independent publisher, offers several annual poetry prizes aimed at recognizing and promoting excellence in contemporary poetry. These prizes include the Ballard Spahr Prize for Poetry, Jake Adam York Poetry Prize, Max Ritvo Poetry Prize, and participation in the National Poetry Series. Each prize offers a cash award and publication by Milkweed Editions. The competitions are open to poets at various stages of their careers, including high school students with a passion for poetry. This provides an excellent opportunity for young poets to gain national recognition and begin their publishing journey.","Free; Year Round; Competition","English Literature Writing","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"3M Young Scientist Challenge","The 3M Young Scientist Challenge, presented by Discovery Education and 3M, is an annual competition that encourages students to submit innovative ideas in STEM fields. Participants have the opportunity to win $25,000 and an exclusive mentorship with a 3M Scientist. The challenge focuses on real-world problems in areas such as robotics, home improvement, automotive, safety, AR/VR, and climate tech. It aims to inspire the next generation of innovators by providing hands-on learning tools and aligning with education standards. The competition is open to middle school students, promoting problem-solving and innovation.","Free; Research; Competition; Year Round","Engineering; Computer Science; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"NOAA Ocean Guardian Youth Ambassador Program","The NOAA Ocean Guardian Youth Ambassador Program is designed for young individuals aged 13-18 who are passionate about ocean conservation and environmental stewardship. Participants will have the opportunity to engage in a variety of activities, including attending monthly webinars, leading a project or event in their school or community, and engaging with a network of fellow ambassadors. The program aims to cultivate leadership and conservation skills among youth, providing them with access to resources, guidance from NOAA experts, and opportunities for community outreach. Participants will learn about marine ecosystems, environmental challenges, and conservation strategies, while also developing valuable skills such as project management and community engagement.","Free; Year Round; Activity; Volunteering","Environmental Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"John F. Kennedy Profile in Courage Essay Contest","The John F. Kennedy Profile in Courage Essay Contest invites high school students to write an essay on an act of political courage by a US elected official who served during or after 1917. The contest aims to celebrate and recognize political courage and leadership. The contest opens for submissions on September 1, 2023, with a deadline of January 12, 2024. Awards include a first-place prize of $10,000, a second-place prize of $3,000, five finalists receiving $1,000 each, and ten semi-finalists receiving $100 each. This contest offers students a unique opportunity to explore political history and the concept of courage in leadership while competing for significant scholarships.","Free; Competition; Year Round","English Literature Writing; Public Administration; Political Science; Law","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Bloomberg Arts Internship","The Bloomberg Arts Internship (BAI) offers a unique opportunity for rising high school seniors in cities like Philadelphia, New York City, Baltimore, Washington, D.C., and Boston to engage in a paid summer internship within the arts and culture sector. Interns work up to 35 hours per week for eight weeks, earning a competitive wage of $17.53/hour for Summer 2024. The program includes professional development workshops, cultural immersion activities, and post-secondary readiness workshops, focusing on skills such as self-advocacy, self-actualization, and public speaking. Selected interns from the summer program may continue their internship during the school year. This initiative supports the host city's creative industries while preparing students for future career paths.","Summer; Internship; Free","Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors"
"Careers in Science (CiS) Intern Program","The Careers in Science (CiS) Intern Program at the California Academy of Sciences is a multi-year, year-round, paid internship designed for San Francisco high school students from communities underrepresented in STEM fields. The program targets 9th and 10th graders enrolled in SFUSD schools, aiming to foster their interest and enthusiasm in science through learning, teaching, and conducting science. Interns engage in fieldwork, facilitate learning experiences, attend interactive trainings, and work on science research or environmental action projects. The program also offers leadership opportunities and mentorships, helping interns develop critical thinking skills and prepare for future careers in STEM.","Year Round; Summer; Activity; Research; Internship; Free","Environmental Science; Biology; Chemistry","California","Freshmen; Sophomores"
"Youth Opportunity Program (YOP) at SLAC","The Youth Opportunity Program (YOP) at SLAC National Accelerator Laboratory is a ten-week summer employment program aimed at providing local entry-level students from low-income backgrounds with workplace exposure and an opportunity to enhance their job skills. The program offers positions in various fields including data entry, light industrial, maintenance, clerical, administration, finance, and science-related positions. To be eligible, applicants must be at least 18 years old, local Bay Area residents, low-income, and first-generation college students. The program partners with non-profit organizations for the selection process, and applications are accepted through the end of May.","Free; Summer; Internship","Engineering; Computer Science","California","Seniors"
